Symbol,Turnover
AGRIDEX,0.0
 Bajra ,0
 Barley ,0
 CASTOROIL ,0
 Castorseed ,"2,264"
 Chana ,0
 Chana ,0.0
 Coriander ,"1,036"
 Cotton seed oil cake ,"2,924"
 CPO ,0
GUAREX,353.4
 Guargum ,"3,608"
 Guargum ,0.0
 Guarseed ,"3,683"
 Guarseed ,517.5
 Gur ,0
 Jeera ,"1,642"
 Kapas ,82
 Maize ,1
 Maize ,0.0
 Refined Soy Oil ,0
 RM seed ,0
 RM Seed ,0.0
 Soyameal ,0
 Soybean ,0
 Soybean ,0.0
SOYDEX,0.0
 Steel Long ,3.1
 Turmeric ,671
 Wheat ,0
 Wheat ,0
